tokens read: 736 (442 winners, 294 dumps), 69 skipped for exceeding 40 signature pages
sources: {'record': 728, 'gecko': 8}
early buys parsed: 37582 by 22772 wallets
wallets early in 3+ distinct winners: 811; selection of a wallet that buys everything: 0.601

graded: 160 of 811 nominees
bar: tokens >= 20, hit >= 10.0%, hold >= 5.0 min, honest >= +10.0%

wallet     wins dumps   sel tokens  hit%  win%   real%  honest% hold_m   /day buy_sol  days     h1%     h2% pass
27HFmP7ccL    5     6  0.46    675   0.7   0.0    +0.0   -100.0    0.0 4721.5   0.002  0.14  -100.0  -100.0 -
Aa9mpEB7Gr    4     0  1.00     18  22.2  27.3    +0.3     -1.6    3.8   95.2   2.317  0.19    -2.5    -0.2 -
3HB71Q5JXn    4     0  1.00     14  28.6  28.6    -1.5     -3.2    4.9   83.8   2.355  0.17    -2.5    -6.2 -
HHEHixZjq8    4     0  1.00     17  23.5  77.8    +1.2     -0.3    4.3  108.1   2.394  0.16    -0.1    -6.0 -
FHvjgbUePY    4     0  1.00     12  33.3  33.3    +1.0     -3.7    0.9   75.2   2.210  0.16    -3.1    -4.1 -
DpDFLSq5ua    4     0  1.00     12  33.3  16.7    -2.8     -5.0    3.4   57.0   1.873  0.21    -4.2    -9.5 -
61vgWirjjC    4     0  1.00     18  22.2  83.3    -0.2     -2.2    4.1   38.8   0.664  0.46    -1.6    -2.3 -
AsEskC3A87    4     0  1.00     28  14.3  30.8    -0.5     -2.5    1.2   60.3   1.326  0.46    -3.9    -1.7 -
4FUzhtwzxJ    4     0  1.00     10  40.0  50.0    +0.5     -0.2   10.2   92.4   3.364  0.11    +1.4    -0.4 -
DQFGAqsfLz    4     0  1.00     10  40.0  25.0    -0.9     -2.9    6.9   58.0   2.212  0.17    -1.5    -6.5 -
3nWLLAFpo8    4     0  1.00      9  44.4  60.0    +0.1     -1.4    1.6   81.8   2.828  0.11    -1.3    -2.5 -
H8ysD9L98T    4     0  1.00     13  30.8  66.7    +1.1     -1.5    9.2   59.9   3.157  0.22    -0.4    -3.4 -
6fXQu2txkc    4     0  1.00      6  66.7   0.0    -0.6     -1.5   32.8   54.1   2.674  0.11    -1.3    -1.9 -
FmeYfDrFrR    4     0  1.00      7  57.1 100.0    +0.5     -0.4   43.0   63.0   3.121  0.11    +1.2    -3.2 -
HGmudUwtLn    4     0  1.00     10  40.0  60.0    -0.5     -2.7    4.7   84.3   2.997  0.12    -0.6    -6.3 -
7QfAqsDBoH    4     0  1.00     11  36.4  33.3    +2.9     -2.5   11.8   85.8   2.650  0.13    -0.9    -6.1 -
ApN5ePCp12    4     0  1.00     18  22.2   0.0    -0.1     -3.3    0.0   49.6   0.739  0.36    -5.2    -2.9 -
J5kMpzQwFn    4     0  1.00     28  14.3 100.0    +0.0     -4.5    4.3   91.3   1.029  0.31    -3.5    -7.3 -
54HV4u4bcS    4     0  1.00     11  36.4   0.0    -0.4     -2.5   73.2   40.6   0.939  0.27    -2.1    -2.6 -
E1KTxtabDa    4     0  1.00     11  36.4   0.0    +2.4     -1.0    2.1   39.1   1.936  0.28    -0.9    -1.4 -

VERDICT: 1 wallet(s) pass the bar: B1Ec85NhgJsViQV9V6GnYUWvmikNQA8NRyD95No1BARx
