mint,arm,entry_ts,ret,label,m5_buys,vol_m5_usd,pages,sig_n,sig_fail_share,slot_max_share,slot_dense_share,iat_cv,parsed_n,swap_n,buy_n,uniq_buyer_ratio,top_buyer_share,size_cv,size_dup_share,median_sol,wallets_checked,fresh_wallet_share,note
BueWDL9z7kL1r8inrsrfuPHoCGjWUK4kmpMBKu2TCPMp,surge,1788425362.0,2.5164,pump,521.0,2722.84,8,728,0.0673,0.0055,0.0165,0.3503,40,40,36,1.0,0.0278,3.8282,0.9444,0.002102,8,0.0,
6avaZMQJsJ2hioqXdqpTZvh6XUn6N3L4zGuvoszSsuPL,wait120,1788425984.0,-1.0,dump,1261.0,216294.24,6,1305,0.3149,0.0077,0.6153,2.0041,40,40,23,0.9565,0.087,1.2533,0.4348,0.154362,8,0.0,
79N642PddtXC7WZg7r6mGeHP4P1tvD4t9kH2jQVEad4V,launchctl,1788425984.0,1.0301999999999998,pump,1048.0,48569.66,12,971,0.2441,0.0093,0.1926,2.4663,40,40,28,1.0,0.0357,2.459,0.7143,0.002322,8,0.0,
CCrAAk8Us7RiUrPSFhFki4kwE1UuGVNgAiKVCizSxzBJ,surgeliq,1788425984.0,-1.0,dump,1621.0,232736.87,12,2769,0.3575,0.0065,0.6771,1.1529,40,40,29,1.0,0.0345,2.3656,0.7586,0.002403,8,0.0,
C4BbwwBJtpNAUpRm3azjKH36msRAp9Bz3xmYb4Vuq8MJ,surge,1788426940.0,1.1985000000000001,pump,690.0,26864.32,7,1243,0.2204,0.0064,0.0362,0.3842,40,40,33,0.8788,0.0909,3.6038,0.7576,0.002113,8,0.0,
Dh6MGtEtnirmfimatEbcNHaTVPJGWxujvYLPgnm6pump,liqctl,1788426940.0,2.1749,pump,1555.0,155268.06,40,0,,,,,,,,,,,,,,,window beyond page cap
EBsohYi5yrQqvGZCUiVRTJtRKmkT8V3Datn3rAqqxErU,wait120,1788427473.0,2.1323,pump,703.0,317228.7,17,914,0.2888,0.0066,0.3151,2.1614,40,40,17,0.9412,0.1176,1.0843,0.1176,0.205995,8,0.125,
Bch9UF1eBoVwDDkC3EpEWUoHaUWEmrrVkTiScjekKSpx,surge,1788427844.0,-1.0,dump,808.0,11788.73,6,1606,0.0,0.0056,0.4813,0.5631,40,40,31,1.0,0.0323,1.9522,0.7419,0.002218,8,0.0,
FYPxq99GgjDjFYLWvnMA1EKowGXKQw1HDtRFofxX5U4S,liqctl,1788427844.0,1.6038000000000001,pump,867.0,173116.75,22,1684,0.3046,0.0154,0.6051,4.9889,40,40,27,0.8148,0.2222,1.0396,0.1111,0.166021,8,0.0,
EpHrbuV9QdroMmwY5hQC5jhgWyoAKE8VsPjWzzPe273h,surge,1788428896.0,-0.91035,dump,336.0,2604.23,1,559,0.0143,0.0089,0.0394,0.7291,40,40,23,0.913,0.087,1.2237,0.6087,0.002069,8,0.0,
